company,role,level,trackName,totalMin,totalMax,baseMin,baseMax,equityMin,equityMax,equityType,equityVesting,joiningBonusMin,joiningBonusMax,variablePct,noticePeriodDays,bondPenaltyLpa,sourceGlassdoor,sourceAmbitionbox,sourceLevelsFyi,sourceDrhp,sourceOperatorNetwork,resumeSignals,notes,lastVerified
# === EXAMPLE ROWS — DELETE BEFORE USE ===
# company: lowercase, no suffixes ("tcs" not "TCS Ltd"). role: kebab-case canonical key from data/salaries.ts (software-engineer | sap-consultant | data-engineer | ...). level: entry|mid|senior|lead|executive. trackName: leave blank for single-track; populate for multi-track companies (e.g. "Ninja", "Digital", "Prime", "GenC", "GenC Next", "DSE", "Specialist L3"). All ₹ values in LPA. equityType: rsu|esop|none. resumeSignals: pipe-separated ("NQT top decile|coding test invite"). At least ONE source URL required; agreementCount derived from how many source columns are filled. lastVerified: YYYY-MM-DD ISO. Lines starting with # are comments and skipped by the importer.
tcs,software-engineer,entry,Ninja,3.4,4.0,3.0,3.5,0,0,none,,0,0.5,8,90,0.5,https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Salaries-E13461.htm,https://www.ambitionbox.com/salaries/tata-consultancy-services-salaries,,,,,Ninja track is the standard NQT fresher offer — most TCS hires.,2026-05-09
tcs,software-engineer,entry,Digital,7.0,9.0,6.0,7.5,0,0,none,,0.5,1.0,10,90,0,https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Digital-Salaries,https://www.ambitionbox.com/salaries/tata-consultancy-services-salaries/digital,,,,NQT top decile|coding test invite|hackathon top-3,Digital track requires top NQT score + coding round. Bond waived.,2026-05-09
tcs,software-engineer,entry,Prime,11.0,11.5,10.0,11.0,0,0,none,,1.0,2.0,10,90,0,https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Prime-Salaries,,,,,DSA-strong|top-of-batch|product-co internship,Prime is the small elite cohort — typically 50-200 hires/year.,2026-05-09
infosys,software-engineer,entry,DSE,3.6,3.6,3.2,3.4,0,0,none,,0,0.5,8,90,1.0,https://www.glassdoor.co.in/Salary/Infosys-Salaries-E7927.htm,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,DSE = Digital Specialist Engineer — the standard fresher offer.,2026-05-09
infosys,software-engineer,entry,Power Programmer,8.0,8.0,7.0,7.5,0,0,none,,0.5,1.0,10,90,0,https://www.glassdoor.co.in/Salary/Infosys-Power-Programmer-Salaries,,,,,top-decile-coding|HackerRank gold|GSoC contributor,Power Programmer requires high coding-test score.,2026-05-09
infosys,software-engineer,entry,Specialist L3,21.0,21.0,18.0,20.0,0,0,none,,2.0,3.0,10,90,0,https://www.glassdoor.co.in/Salary/Infosys-Specialist-Programmer-Salaries,,,,,IIT/NIT top-decile|ICPC|Specialist Programmer test top-rank,Specialist Programmer L1 ₹10L / L2 ₹16L / L3 ₹21L. L3 is the elite tier.,2026-05-09
# === END EXAMPLES — fill in your rows below ===
razorpay,software-engineer,mid,,18.6,33.3,14.0,25.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/razorpay-salaries,,,,,AB scrape: Senior Software Engineer (n=236); Software Developer (n=219); n=455,2026-05-08
razorpay,software-engineer,entry,,17.1,21.0,12.8,15.8,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/razorpay-salaries,,,,,AB scrape: Software Engineer (n=169); Software Development Engineer (n=159); n=328,2026-05-08
razorpay,product-manager,senior,,28.6,32.4,21.5,24.3,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/razorpay-salaries,,,,,AB scrape: Product Manager (n=129); n=129,2026-05-08
